epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,81.5839,0.35302,0.49306,0.48524,0.85318,0,0.96494,0.93548,0.91068,0.85449,0.99822,0.96774,0.96508,0.78283,0.40992,0.69974,0.45558,0.89694,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,82.9625,0.33862,0.48599,0.45786,0.852,0,0.96491,0.93548,0.91276,0.85716,0.99818,0.96774,0.96508,0.78375,0.39253,0.70629,0.43319,0.896,0,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,84.344,0.36854,0.53747,0.46627,0.86439,0,0.96497,0.93548,0.91501,0.85643,0.99824,0.96774,0.96509,0.78065,0.40786,0.71073,0.4458,0.89864,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,85.7363,0.35019,0.47824,0.44675,0.8686,0,0.96496,0.93548,0.92116,0.863,0.99824,0.96774,0.96509,0.78709,0.40323,0.709,0.43493,0.91488,0,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,87.1265,0.3612,0.5375,0.4656,0.86139,0,0.96495,0.93548,0.92349,0.86142,0.99823,0.96774,0.96509,0.79663,0.40407,0.73308,0.4292,0.92029,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,88.5213,0.3578,0.51528,0.45255,0.88622,0,0.96491,0.93548,0.92349,0.84919,0.99818,0.96774,0.96509,0.80067,0.43991,0.71937,0.44281,0.92877,0,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,89.9001,0.3442,0.51,0.44234,0.84705,0,0.96492,0.93548,0.91927,0.8519,0.99819,0.96774,0.9651,0.78287,0.45074,0.72442,0.43536,0.9302,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,91.2895,0.35901,0.55275,0.45459,0.85768,0,0.96493,0.93548,0.91584,0.85523,0.99821,0.96774,0.9651,0.78266,0.42452,0.72306,0.41861,0.92729,0,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,92.6684,0.32308,0.45456,0.44168,0.86576,0,0.96489,0.93548,0.91164,0.8535,0.99817,0.96774,0.9651,0.79139,0.40841,0.71438,0.41449,0.92252,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,94.0433,0.37442,0.58283,0.45547,0.87998,0,0.96489,0.93548,0.91264,0.87161,0.99816,0.96774,0.96511,0.79375,0.3888,0.70655,0.40788,0.91936,0,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,95.4276,0.38165,0.64018,0.43805,0.85797,0,0.96497,0.93548,0.90819,0.84452,0.99825,0.96774,0.96511,0.79355,0.40917,0.70353,0.39514,0.92061,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,96.802,0.42952,0.54345,0.48176,0.9094,0,0.96494,0.93548,0.9062,0.82512,0.99822,0.96774,0.96512,0.79179,0.44278,0.70924,0.4047,0.93088,0,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,98.1758,0.34854,0.49467,0.44609,0.86418,0,0.965,0.93548,0.91153,0.84268,0.99828,0.96774,0.96512,0.79718,0.41961,0.70905,0.39285,0.9288,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,99.5483,0.35945,0.53608,0.45754,0.86965,0,0.96503,0.93548,0.91065,0.83202,0.9983,0.96774,0.96512,0.79196,0.42278,0.74841,0.41127,0.9328,0,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,100.923,0.36759,0.533,0.44402,0.85553,0,0.96501,0.93548,0.91386,0.85481,0.99828,0.96774,0.96511,0.79022,0.39627,0.73911,0.40333,0.91971,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,102.301,0.34391,0.51412,0.41059,0.86705,0,0.96499,0.93548,0.90819,0.86244,0.99827,0.96774,0.96511,0.79724,0.3921,0.74523,0.39582,0.92254,0,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,103.682,0.34737,0.53794,0.44771,0.8682,0,0.96499,0.93548,0.90951,0.84849,0.99827,0.96774,0.96511,0.78501,0.39414,0.75528,0.37726,0.91823,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,105.159,0.33219,0.49662,0.42606,0.86267,0,0.96503,0.93548,0.90718,0.85727,0.99831,0.96774,0.96511,0.78927,0.38808,0.7705,0.3715,0.92003,0,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,106.576,0.34456,0.56726,0.41762,0.86682,0,0.96497,0.93548,0.91052,0.84862,0.99824,0.96774,0.96511,0.78035,0.39228,0.7614,0.37822,0.91859,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
